year,January 1I,January 1l,January 1i,January 1t,January I1,January II,January It,January l1,January ll,January li,January lt,January i1,January il,January ii,January tl,January ti,January tt,February 1I,February 1l,February 1i,February 1t,February I1,February II,February It,February l1,February ll,February li,February i1,February il,February ii,February tl,February ti,February tt,March 1I,March 1l,March 1i,March 1t,March I1,March II,March Ii,March It,March l1,March ll,March li,March lt,March i1,March il,March ii,March tl,March ti,March tt,April 1I,April 1l,April 1i,April 1t,April I1,April II,April It,April l1,April ll,April li,April lt,April i1,April il,April ii,April t1,April tl,April ti,April tt,May 1I,May 1l,May 1i,May 1t,May I1,May II,May Il,May Ii,May It,May l1,May ll,May li,May lt,May i1,May il,May ii,May t1,May tl,May ti,May tt,June 1I,June 1l,June 1i,June 1t,June I1,June II,June Il,June Ii,June It,June l1,June ll,June li,June lt,June i1,June il,June ii,June t1,June tl,June ti,June tt,July 1I,July 1l,July 1i,July 1t,July I1,July II,July Ii,July It,July l1,July ll,July li,July lt,July i1,July il,July ii,July t1,July tl,July ti,July tt,August 1I,August 1l,August 1i,August 1t,August I1,August II,August It,August l1,August ll,August li,August lt,August i1,August il,August ii,August tl,August ti,August tt,September 1I,September 1l,September 1i,September 1t,September I1,September II,September Il,September Ii,September It,September l1,September ll,September li,September lt,September i1,September il,September ii,September ti,September tt,October 1I,October 1l,October 1i,October 1t,October I1,October II,October It,October l1,October ll,October li,October lt,October i1,October il,October ii,October tl,October ti,October tt,November 1I,November 1l,November 1i,November 1t,November I1,November II,November It,November l1,November ll,November li,November lt,November i1,November il,November ii,November ti,November tt,December 1I,December 1l,December 1i,December 1t,December I1,December II,December It,December l1,December ll,December li,December lt,December i1,December il,December ii,December tl,December ti,December tt
1800,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0559744007850895e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703982993068621e-08,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703982993068621e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0559744007850895e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703982993068621e-08,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.703982993068621e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.6758462112752568e-08,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.3516924225505136e-08,0.0,0.0,8.919487370917523e-09,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.567794948367009e-08,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0
1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,2.994853431914635e-08,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.991422386524391e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,5.98970686382927e-08,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.994853431914635e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965689546097565e-08,0.0,0.0,9.982844773048782e-09,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993137909219513e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,1.9965689546097565e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993137909219513e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965689546097565e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994853431914635e-08,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0
1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,1.836850493930342e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,3.673700987860684e-08,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836850493930342e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,1.836850493930342e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.755275829713355e-08,0.0,9.18425246965171e-09,9.18425246965171e-09,0.0,9.18425246965171e-09,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.673700987860684e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.836850493930342e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.755275829713355e-08,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6757903509301286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6757903509301286e-08,8.378951754650643e-09,8.378951754650643e-09,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,1.6757903509301286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,1.6757903509301286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6757903509301286e-08,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6757903509301286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1805,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.6583744155695967e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487561623354395e-08,8.291872077847984e-09,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487561623354395e-08,0.0,0.0,2.487561623354395e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,2.487561623354395e-08,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.6583744155695967e-08,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,1.6583744155695967e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6583744155695967e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0
1806,0.0,0.0,0.0,0.0,0.0,2.4269962040079918e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4269962040079918e-08,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.4269962040079918e-08,8.089987346693306e-09,0.0,0.0,0.0,8.089987346693306e-09,8.089987346693306e-09,0.0,5.662991142685314e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,0.0,1.6179974693386612e-08,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,1.6179974693386612e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,1.6179974693386612e-08,8.089987346693306e-09,0.0,8.089987346693306e-09,0.0,8.089987346693306e-09,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,8.089987346693306e-09,0.0,0.0,8.089987346693306e-09,0.0,0.0,8.089987346693306e-09,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,2.4269962040079918e-08,2.4269962040079918e-08,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8539924080159835e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4269962040079918e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4817072901962547e-08,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9634145803925094e-08,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,1.4817072901962547e-08,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,3.704268181081716e-08,7.4085364509812734e-09,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,2.222560979703303e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445121959406606e-08,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222560979703303e-08,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,7.4085364509812734e-09,0.0,1.4817072901962547e-08,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1808,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,7.366554921617308e-09,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,7.366554921617308e-09,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,7.366554921617308e-09,0.0,7.366554921617308e-09,7.366554921617308e-09,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.683277327581891e-08,1.4733109843234615e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946621968646923e-08,0.0,0.0,7.366554921617308e-09,0.0,0.0,7.366554921617308e-09,0.0,0.0,7.366554921617308e-09,1.4733109843234615e-08,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.683277327581891e-08,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,7.366554921617308e-09,0.0,1.4733109843234615e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.683277327581891e-08,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,7.366554921617308e-09,0.0,0.0,0.0,7.366554921617308e-09,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0
1809,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387887316184333e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0818308854586576e-08,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387887316184333e-08,0.0,0.0,1.387887316184333e-08,0.0,6.939436580921665e-09,0.0,0.0,0.0,6.939436580921665e-09,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387887316184333e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,6.939436580921665e-09,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,2.0818308854586576e-08,0.0,1.387887316184333e-08,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,2.0818308854586576e-08,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387887316184333e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775774632368666e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
