year,January llth,January lith,January iith,February llth,February lith,February iith,March Ilth,March llth,March lith,March iith,April llth,April lith,April iith,May Ilth,May llth,May lith,May iith,June 1lth,June 1ith,June IIth,June llth,June lith,June iith,July llth,July lith,July iith,August llth,August lith,August iith,September 1lth,September IIth,September Ilth,September l1th,September llth,September lith,September iith,October llth,October lith,October iith,November llth,November lith,November iith,December 1ith,December llth,December lith,December iith
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519914965343105e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1801,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838974741835045e-08,0.0,0.0,0.0,0.0,0.0,8.919487370917523e-09,0.0,0.0,0.0,8.919487370917523e-09,8.919487370917523e-09,0.0
1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982844773048782e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1803,0.0,0.0,0.0,1.836850493930342e-08,9.18425246965171e-09,0.0,0.0,9.18425246965171e-09,0.0,0.0,9.18425246965171e-09,0.0,0.0,9.18425246965171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1804,0.0,0.0,0.0,1.6757903509301286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.378951754650643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1805,1.6583744155695967e-08,8.291872077847984e-09,0.0,8.291872077847984e-09,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,8.291872077847984e-09,0.0,0.0,0.0,1.6583744155695967e-08,0.0,0.0
1806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.6179974693386612e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089987346693306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1807,0.0,0.0,0.0,2.222560979703303e-08,0.0,0.0,0.0,1.4817072901962547e-08,0.0,0.0,7.4085364509812734e-09,7.4085364509812734e-09,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222560979703303e-08,7.4085364509812734e-09,0.0,1.4817072901962547e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0,7.4085364509812734e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.4085364509812734e-09,0.0,0.0
1808,7.366554921617308e-09,0.0,0.0,1.4733109843234615e-08,0.0,0.0,1.4733109843234615e-08,7.366554921617308e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.366554921617308e-09,0.0,0.0,1.4733109843234615e-08,7.366554921617308e-09,0.0,1.4733109843234615e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4199328641525426e-08,0.0,0.0
1809,1.387887316184333e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.4697183792786745e-08,0.0,0.0,3.4697183792786745e-08,0.0,0.0,6.939436580921665e-09,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,6.939436580921665e-09,0.0,6.939436580921665e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0,0.0,6.939436580921665e-09,0.0,1.387887316184333e-08,0.0,0.0,0.0,6.939436580921665e-09,0.0,0.0
