year,January nth,February nth,March nth,April nth,May nth,June nth,July nth,August nth,September nth,October nth,November nth,December nth
1800,5.407965986137242e-08,5.407965986137242e-08,4.0559744007850895e-08,6.759957216218027e-08,5.407965986137242e-08,6.759957216218027e-08,6.759957216218027e-08,2.703982993068621e-08,0.0,2.703982993068621e-08,0.0,6.759957216218027e-08
1801,8.919487370917523e-09,1.7838974741835045e-08,7.135589896734018e-08,2.6758462112752568e-08,8.027538456190086e-08,5.3516924225505136e-08,8.919487370917523e-09,8.919487370917523e-09,8.919487370917523e-09,8.919487370917523e-09,6.24364133727795e-08,8.919487370917523e-09
1802,0.0,0.0,6.987991696405516e-08,2.994853431914635e-08,5.98970686382927e-08,1.9965689546097565e-08,9.982844773048782e-09,0.0,0.0,1.9965689546097565e-08,0.0,2.994853431914635e-08
1803,3.673700987860684e-08,5.51055165942671e-08,9.18425246965171e-09,0.0,9.18425246965171e-09,1.836850493930342e-08,5.51055165942671e-08,9.18425246965171e-09,9.18425246965171e-09,0.0,9.18425246965171e-09,9.18425246965171e-09
1804,1.6757903509301286e-08,8.378951754650643e-09,8.378951754650643e-09,2.513685615213035e-08,8.378951754650643e-09,8.378951754650643e-09,0.0,8.378951754650643e-09,1.6757903509301286e-08,1.6757903509301286e-08,1.6757903509301286e-08,0.0
1805,1.6583744155695967e-08,4.145935861288308e-08,8.291872077847984e-09,1.6583744155695967e-08,2.487561623354395e-08,2.487561623354395e-08,8.291872077847984e-09,1.6583744155695967e-08,0.0,0.0,8.291872077847984e-09,8.291872077847984e-09
1806,0.0,1.6179974693386612e-08,1.6179974693386612e-08,0.0,1.6179974693386612e-08,3.2359949386773224e-08,1.6179974693386612e-08,0.0,1.6179974693386612e-08,2.4269962040079918e-08,0.0,0.0
1807,0.0,1.4817072901962547e-08,5.1859753824601285e-08,1.4817072901962547e-08,2.222560979703303e-08,0.0,0.0,0.0,0.0,2.9634145803925094e-08,0.0,0.0
1808,0.0,1.4733109843234615e-08,1.4733109843234615e-08,7.366554921617308e-09,7.366554921617308e-09,2.2099664320762713e-08,0.0,7.366554921617308e-09,7.366554921617308e-09,7.366554921617308e-09,0.0,7.366554921617308e-09
1809,0.0,2.0818308854586576e-08,0.0,0.0,1.387887316184333e-08,5.551549264737332e-08,6.939436580921665e-09,5.551549264737332e-08,0.0,6.939436580921665e-09,6.939436580921665e-09,1.387887316184333e-08
